"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CD300LG",1.64451617698284,3.93801519717814,1.31110440987369,3.00358626477163,0.00266817895351658,0.00844748907524357
"DUSP23",21.4323133854242,1.1367469069184,0.378526481819998,3.00308422663798,0.00267258454053695,0.00846054031197118
"MAP4K3",310.018672483486,-0.62112766345741,0.206833756769894,-3.00302848605329,0.00267307409645931,0.0084611932051677
"LINC02532",76.7992948596002,1.29510264371338,0.431305560237576,3.00274970487279,0.00267552379356917,0.00846804981930301
"KRT78",1.85122162622596,3.12374419666472,1.04033968938291,3.00261946030109,0.00267666897754946,0.00847077662546516
"RNF144A-AS1",11.5061079652526,1.80395022625828,0.600967118528211,3.00174530459539,0.00268436664909547,0.00849382700121246
"SCARB2",502.146509191852,1.1629412093211,0.387423946008036,3.00172774890114,0.00268452144866715,0.00849382700121246
"DRD3",14.8036781443038,1.6740447749931,0.557758872351654,3.00137722226613,0.00268761396999398,0.0085027109336727
"LOC105376652",12.2143313265023,1.4332731832664,0.477587329596617,3.00107036858992,0.00269032385866402,0.00851038259072144
"LOC105375630",250.52811653518,1.08746456789229,0.362387438735688,3.0008340567385,0.0026924124793969,0.00851608755530487
"RMC1",270.582102580351,-0.728974498854858,0.242938933223543,-3.00064913096528,0.00269404796231083,0.00851962306920608
"FOXN1",2.63354448797547,3.1567538304175,1.05203649315965,3.00061247964566,0.00269437221423126,0.00851962306920608
"BRWD3",1026.85863489697,-0.728906050380807,0.242919215883654,-3.00061091391763,0.00269438606692287,0.00851962306920608
"LOC102723381",17.8456683249527,1.11112223134489,0.37034212974933,3.00025879339456,0.00269750308732214,0.00852775945676401
"LOC105369473",2.60377593054597,2.21022455903522,0.736678726057696,3.0002557164412,0.00269753033946257,0.00852775945676401
"NEO1",121.208687178095,1.17859682879415,0.392837690393046,3.0002132117591,0.00269790682315929,0.00852804691719434
"GALM",182.283706856665,0.696861851549669,0.232274148489955,3.00016965331725,0.00269829269030892,0.00852836397460851
"LOC105371010",5.30226285008792,2.32338521005376,0.774482509803371,2.99991953419791,0.00270050937382603,0.00853446692585336
"LOC105369151",18.1216753364219,-2.07431815766392,0.691551876278208,-2.9995120088857,0.00270412463606287,0.00854485121084041
"LOC107986598",23.9690646950957,2.59495950155819,0.865135114348053,2.99948465681421,0.00270436744164954,0.00854485121084041
"NPC1",491.470927387704,-0.849680465642598,0.283284659465146,-2.99938749682681,0.00270523009636622,0.00854667267830078
"ND3",5147.98608317044,-1.43423682899997,0.47820850506519,-2.99918720350751,0.00270700923484226,0.00855138891459321
"LOC105370932",2.86038856611278,2.66414071291778,0.888453032749035,2.99862864407638,0.0027119763807369,0.00856617394084691
"LOC112268198",8.15815759379071,-1.66610170315986,0.555640219229344,-2.99852610646273,0.00271288912933607,0.00856815078760804
"LOC646522",1.53962321194402,3.34235149505653,1.11474385806998,2.99831344291355,0.00271478306954452,0.00857317466696014
"MAVS",214.113773124548,-0.763831249377317,0.254756218653366,-2.9982830386434,0.00271505394274599,0.00857317466696014
"ACVR2A",222.377168116002,-0.952411174523891,0.317665062909828,-2.99816154096317,0.00271613661833276,0.00857568665889714
"MMP1",9.82657621033299,2.41049176096049,0.804059725769471,2.99790137934554,0.00271845626620744,0.00858210321250371
"KMT2C",3586.62125879989,-0.727132742235943,0.242551462357196,-2.99784934367917,0.00271892044275062,0.00858266134898501
"LOC105372787",6.01280263847863,2.12440874297597,0.708732673897813,2.99747538277355,0.00272225843710349,0.00859229002579748
"GPR179",1.66371125387571,2.90564806547045,0.969440518406741,2.99724223436198,0.00272434142627157,0.00859795590146893
"BTBD10",458.281757808359,-0.686474483786269,0.229050650345248,-2.99704228192125,0.00272612899660966,0.00860268834359126
"ANKRD13A",998.154713853098,-0.903822761088642,0.301584376278366,-2.99691506649669,0.00272726685736796,0.00860500710725989
"LOC101927575",4.46469588002766,2.28796891121608,0.7634462907997,2.99689570672936,0.00272744005616347,0.00860500710725989
"LOC105378385",47.3635020124097,-0.980174102950394,0.327099480548913,-2.99656270106434,0.00273042080699421,0.00861350136272125
"GRHL3",10.1862416782527,1.53262423412562,0.511487418071834,2.99640651944712,0.00273181982167409,0.0086170045388991
"LOC105376265",4.38156554817616,3.30334727130124,1.10252676334505,2.99616062042695,0.00273402381754151,0.00862304586660441
"MSC-AS1",173.013453690417,1.47348040382598,0.49181740640745,2.99599075719834,0.0027355472522558,0.00862668850096044
"MYSM1",487.943696815161,-0.718336238195912,0.239769135790215,-2.99594956552047,0.0027359168005988,0.00862668850096044
"CD109",73.3078169949183,1.18300148143981,0.394868842666602,2.99593524130911,0.00273604531997647,0.00862668850096044
"LOC105370187",6.47195299994239,2.85774872263753,0.953895333742724,2.99587242074537,0.0027366090224106,0.00862755499359153
"MIR4432HG",9.8868393368218,1.55049987458257,0.517622262354831,2.99542733639168,0.00274060589994049,0.00863924374094602
"LOC105371509",4.34460182027636,2.70130938185643,0.901970436211399,2.99489791838733,0.00274536704146889,0.00865333896500987
"HPCA",2.99329967167786,3.7852034152196,1.26419879883419,2.99415204215526,0.00275208764916213,0.0086736067583608
"DHX57",92.6214940251821,-0.563276228307494,0.188134347472215,-2.99401058804895,0.00275336389460613,0.00867671338107125
"LOC101927445",51.9373571632823,1.20034912857733,0.400932428955872,2.99389383817953,0.00275441765753837,0.00867911831002147
"NCAPH2",82.6982841816053,0.867797374344037,0.289863386956212,2.99381506390502,0.00275512886784022,0.00868044346851442
"LOC105374234",30.7782157087406,1.43766809318035,0.480221435938697,2.99376076449007,0.00275561920554261,0.00868107252885337
